
"Après avoir décoché les actions ILD, si le PA ne contient plus AUCUNE Action ""Active"", le pilote du PA peut lancer la procédure de clôture.";;;;;;;;;;;;;;

"N° PA";"Grp Resp";"Spec";"Libellé PA";"Création";"Echéance";"Statut";"Active";;;;;;"Active";".";"Close";;"Close";".";
"00028342 ";"PAIDSPRTRA";"EXP";"DI001 - MEA RPC DOATEX PNPP1150 - 4P2018 DAM";"28/01/16";"01/12/18";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00037853 ";"PASURPRCH6";" ";"DI001 - MEA DE L'ITS ACCIDENT GRAVE CPY - 1234C2018 DAM";"02/06/16";"01/12/18";"APPROUVÉ";"1";;;;;;"1";;;"5";"5";;
"00037877 ";"PAIDSPRCOM";"ROB";"DI001 - MEA de la DP 309 indice 2- 1234P2018 DAM";"02/06/16";"01/12/18";"APPROUVÉ";;;;"5";;;"5";;;;;;
"00037879 ";"PAMECPI";" ";"DI001 - MEA de la PNPP1345A - 1234P2017 - DAM";"02/06/16";"01/12/18";"APPROUVÉ";;;;"4";;;"4";;;"2";"2";;
"00006567 ";"PAIDSPRCOM";"ELE";"DI001 - MEA Dérogatoire DP312 - 2P2016 DAM";"28/01/14";"31/12/18";"APPROUVÉ";;;;;;;;;;"2";"2";;
"00006568 ";"PAIDSPRCOM";"ELE";"DI001 - MEA Dérogatoire DP312 - 4P2016 DAM";"28/01/14";"31/12/18";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00015256 ";"PAIDSPRCOM";"ELE";"DI001 - MEA DP323 Indice 0 - 1234P2018 DAM";"19/01/15";"31/12/18";"APPROUVÉ";;;;"1";;;"1";;;"1";"1";;
"00025181 ";"PAIDSPRTRA";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 2C2018 DAM";"04/11/15";"31/12/18";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00025187 ";"PAIDSPRTRA";"EXP";"[DI001]-MEA de FA CA CPY 006 indice 0-PNPP 1702 - 4C2018 DAM";"04/11/15";"31/12/18";"APPROUVÉ";"1";;;"1";;;"2";;;;;;
"00025194 ";"PASURPRCH3";" ";"DI001-MEA PNPP1628 ""CASEMATAGE EVENT BACHE PTR"" - 4C2018 DAM";"04/11/15";"31/12/18";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00047087 ";"PAIDSPRSYS";"VCL";"DI001 - MEA de PB900DVK0100FA01 - 4C2018 DAM";"10/10/16";"31/12/18";"APPROUVÉ";;;;"2";;;"2";;;;;;
"00063292 ";"PALABPI";" ";"DI001-MEA REGL ESSAI NON RGE TPAL MES ANIONS - 1234C2017 DAM";"18/05/17";"31/12/18";"NOTIFIÉ";;;;;;"1";"1";;;;;;
"00031362 ";"PAEXPPI";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-1P2019 DAM";"26/02/16";"15/06/19";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00031375 ";"PAEXPPI";" ";"DI001-MEA des EPCRPR011/EPCRPR012 pour PNPP1226-3P2019 DAM";"26/02/16";"15/06/19";"NOTIFIÉ";;;;;;"2";"2";;;;;;
"00055266 ";"PAIDSPRCOM";"AUT";"DI001 -AFT16.06 RGL COMMANDITE CTRL CABLE PAC - 2P2018 DAM";"13/02/17";"31/08/19";"APPROUVÉ";;;;;;"4";"4";;;;;;
"00015464 ";"PAIDSPRCOM";"ELE";"DI001 - DP321 ctl fixations clips - 1P2015-2017 DAM";"28/01/15";"01/12/19";"APPROUVÉ";;;;"2";;;"2";;;"2";"2";;
"00006563 ";"PAIDSPRCOM";"ELE";"DI001 - MEA Dérogatoire DP312 - 1P2015 DAM";"28/01/14";"31/12/19";"APPROUVÉ";"1";;;;;;"1";;;"1";"1";;
"00064632 ";"PASURPRCH9";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 1P2017 DAM";"02/06/17";"31/12/19";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00064633 ";"PASURPRCH9";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 2P2018 DAM";"02/06/17";"31/12/19";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00064634 ";"PASURPRCH9";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 3P2019 DAM";"02/06/17";"31/12/19";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00064635 ";"PASURPRCH9";" ";"DI001- MEA de la FA KRT 038 - PNPP1483B - 4P2018 DAM";"02/06/17";"31/12/19";"APPROUVÉ";;;;;;"2";"2";;;;;;
"00021087 ";"PAIDSPRCOM";"ELE";"DI001-DP221 ind 2 Rempl. relais ITG série 100-1234P2020- DAM";"08/07/15";"31/12/20";"APPROUVÉ";;;;"1";;;"1";;;;;;
"00062176 ";"PAIDSPRTRA";" ";"DI001 - PROG INVESTI COMPL VD4 PAL900 CPP-CSP -1D21-4P22 DAM";"04/05/17";"15/05/21";"APPROUVÉ";;;;"3";;;"3";;;;;;
"00009866 ";"PAIDSILD";" ";"MODELE DI001 - TITRE - 1234C2016 DAM";"04/08/14";"31/12/99";"NOUVEAU";;;;;;"1";"1";;;;;;

